name,slogan,website,status,founded,location,team_size,batch,twitter,facebook,crunchbase
Avion School,We teach Filipinos to become remote software engineers globally.,https://avionschool.com,Active,2020,"Manila, Philippines",4,W21,https://twitter.com/AvionSchool,https://www.facebook.com/avionschool,
Turing College,AI-driven online tech school for busy professionals,https://www.turingcollege.com,Active,2020,"Vilnius, Lithuania",50,W21,,https://www.facebook.com/turingcollege,https://www.crunchbase.com/organization/turing-college
UPchieve,"Connecting low-income HS students with free, 24/7 online tutoring",https://www.upchieve.org,Active,2016,New York,15,W21,https://twitter.com/upchieve,https://www.facebook.com/UPchieve,
Poliglota,"The online language school for Latam, with groups led by an instructor",https://www.poliglota.org,Active,2012,"Santiago, Chile",170,W21,https://twitter.com/poligloton,https://www.facebook.com/poliglota,https://www.crunchbase.com/organization/poliglota
Kidato,Online school for K12 education in Africa,https://www.kidato.co,Active,2020,"Nairobi, Kenya",15,W21,https://twitter.com/kidatorian,https://www.facebook.com/kidatorian,
Unschool,"Learn, Intern and become Industry-Ready",https://www.unschool.in,Active,2019,"Hyderabad, India",35,W21,,https://www.facebook.com/unschool.in,https://www.crunchbase.com/organization/mr-d389
Codingal,Leading online after-school for kids & teens to learn AI and Coding,https://www.codingal.com,Active,2020,"Bengaluru, India",60,W21,https://twitter.com/codingal,https://www.facebook.com/codingal.education,https://www.crunchbase.com/organization/codingal
Coderhouse,Effective and accessible online live education.,https://www.coderhouse.com,Active,2019,"Buenos Aires, Argentina",225,W21,https://twitter.com/coderhouse,https://www.facebook.com/CoderHouse,https://www.crunchbase.com/organization/coderhouse
Scrimba,We turn people into hireable devs for 1% of the price of code…,https://scrimba.com,Active,2017,"Oslo, Norway",6,S20,https://twitter.com/scrimba,,https://www.crunchbase.com/organization/scrimba
Kunduz,Kunduz provides instant answers to students' questions and makes…,https://kunduz.com,Active,2016,"Istanbul, Turkey",85,S18,http://twitter.com/kunduzasor,https://www.facebook.com/kunduzasor,https://www.crunchbase.com/organization/kunduz
AnnieCannons,Connecting Survivors to Careers in Tech,https://www.anniecannons.com,Active,2015,"Oakland, CA",14,S18,http://twitter.com/anniecannons,http://facebook.com/anniecannons,https://www.crunchbase.com/organization/anniecannons
AskMyClass,Audio learning assistant for teachers and students.,https://goaskmyclass.com,Active,2017,"Menlo Park, CA",2,S18,https://twitter.com/AskMyClass,https://www.facebook.com/Askmyclass-292489718165102,https://www.crunchbase.com/organization/askmyclass
Recurse Center,The retreat where curious programmers recharge and grow,https://www.recurse.com,Active,2010,New York,7,S10,https://www.twitter.com/recursecenter,,
Juni,A learning platform helping every student achieve their best future.,https://junilearning.com,Active,2017,San Francisco,30,W18,https://twitter.com/junilearning,,https://www.crunchbase.com/organization/juni-learning
NEXGENT,,https://ngt.academy,Active,2016,"San Jose, CA",25,W18,,https://www.facebook.com/NEXGENT,https://www.crunchbase.com/organization/nexgent-inc
Nimble,Data-driven teacher hiring,http://www.hirenimble.com,Active,2017,,25,S17,https://twitter.com/Nimblek12,,https://www.crunchbase.com/organization/nimble-hiring-pbc
Pathrise,YC for your career,https://www.pathrise.com,Active,2017,San Francisco,55,S17,https://twitter.com/pathriseio,https://www.facebook.com/pathriseio,https://www.crunchbase.com/organization/pathrise
Bloom Institute of Technology,The online coding school that invests in you.,https://www.bloomtech.com,Active,2017,San Francisco,50,S17,https://twitter.com/bloomtech,,https://www.crunchbase.com/organization/lambda-school
Dost Education,Getting kids ready for school in India.,http://www.dosteducation.com,Active,2017,"Delhi, India",30,W17,https://twitter.com/DostEducation,https://www.facebook.com/dosteducation,https://www.crunchbase.com/organization/dost-education
ClassDojo,"Communication app for K-8 teachers, kids, and families",http://www.classdojo.com,Active,2011,San Francisco,100,S12,https://twitter.com/classdojo,https://www.facebook.com/classdojo,https://www.crunchbase.com/organization/classdojo
Pahamify,College entrance test preparation App for students in Indonesia,https://pahamify.com,Active,2018,Indonesia,40,W20,https://twitter.com/pahamify,https://www.facebook.com/pahamify,
Jumpcut,Helping creators go viral and build businesses.,http://www.jumpcut.com,Active,2014,"Los Angeles, CA",11,S16,,,https://www.crunchbase.com/organization/jumpcut-studios
Quero Education,Quero is an online marketplace for college programs in Brazil. It…,http://querobolsa.com.br,Active,2013,"São José dos Campos, Brazil",200,S16,,,https://www.crunchbase.com/organization/quero-education
EduRev,Learning App for 400M Indian Students like a Netflix for Education,http://edurev.in,Active,,"Chandigarh, India",24,W20,https://twitter.com/edurevin,https://www.facebook.com/TheEducationRevolution,https://www.crunchbase.com/organization/edurev
StayQrious,"StayQrious helps kids in India learn through online group classes,…",https://StayQrious.com,Active,,"Bengaluru, India",29,W20,,,
Ello,Building the world's first 1:1 AI teacher.,https://www.ello.com,Active,2020,San Francisco,26,W20,,,https://www.crunchbase.com/organization/trustle
Demand Curve,We break down the strategies fast-growing startups use to grow.,https://www.demandcurve.com,Active,2019,San Francisco,10,S19,https://twitter.com/growthtactics,,
Microverse,Training and connecting untapped talent with global opportunities,https://www.microverse.org,Active,,,35,S19,http://twitter.com/microverseinc,,https://www.crunchbase.com/organization/microverse
Outtalent,We help top engineers in emerging markets get jobs abroad at…,http://outtalent.com,Active,2019,San Francisco,2,S19,http://twitter.com/teamouttalent,,
Juno College of Technology,Juno is the university of the future.,http://junocollege.com,Active,2012,"Toronto, Canada",30,S19,http://twitter.com/junocollege,http://facebook.com/junocollege,
Prenda,K-8 microschools in your neighborhood,https://prenda.com,Active,2017,"Mesa, AZ",150,S19,,,
Schoolable,Tuition collection service for K-12 private schools in Africa,http://schoolable.co,Active,2019,"Lagos, Nigeria",10,W19,https://twitter.com/schoolableHQ,,
Edyst,Edyst is a peer-to-peer online learning platform where students learn…,https://edyst.com,Active,2019,"Hyderabad, India",11,W19,,https://www.facebook.com/edystme,https://www.crunchbase.com/organization/edyst
AccioJob,Upskilling bootcamp for India,http://www.acciojob.com,Active,2018,"Gurugram, India",250,W19,https://twitter.com/acciojob_,,https://www.crunchbase.com/organization/acciojob
