Address,Price,Beds,Baths,Size
"502 W Stanton Ln, Crete, IL 60417","$167,500",3 beds,1 bath,"1,039 sq ft"
"232 Heritage Woods Dr, West Chicago, IL 60185","$615,000",4 beds,3 baths,"3,007 sq ft"
"429 47th Ave, Bellwood, IL 60104","$299,000",3 beds,2 baths,"1,050 sq ft"
"5508 W Andover Rd, Milwaukee, WI 53219","$359,900",3 beds,2 baths,"3,251 sq ft"
"2506 Kirchoff Rd, Rolling Meadows, IL 60008","$299,000",2 beds,1 bath,861 sq ft
"1190 Larkspur Ct, Pingree Grove, IL 60140","$470,000",4 beds,2.5 baths,"3,242 sq ft"
"4366 Central Ave, Western Springs, IL 60558","$2,199,900",4 beds,3.5 baths,"4,225 sq ft"
"1739-41 W 35th St Unit HSE, Chicago, IL 60609","$297,000",1 bed,1 bath,915 sq ft
"3714 W Giddings St Unit 1S, Chicago, IL 60625","$375,000",3 beds,3 baths,"1,736 sq ft"
"829 E Joliet Hwy, New Lenox, IL 60451","$379,999",4 beds,3 baths,"1,901 sq ft"
"3215 S Throop St, Chicago, IL 60608","$699,900",8 beds,4 baths,— sq ft
"13438 Waterleaf Dr, St. John, IN 46373","$754,900",5 beds,3 baths,"3,974 sq ft"
"1707 N Sheffield Ave #2, Chicago, IL 60614","$549,900",2 beds,2 baths,— sq ft
"8124 Lowell Ave, Skokie, IL 60076","$525,000",5 beds,2 baths,"2,360 sq ft"
"1329 W 71st St, Chicago, IL 60636","$260,000",6 beds,2.5 baths,"2,051 sq ft"
"3537 Arthur Rd, Crete, IL 60417","$329,500",4 beds,2.5 baths,"2,831 sq ft"
"274 Leeds Dr, Barrington Hills, IL 60010","$2,499,000",5 beds,5.5 baths,"7,434 sq ft"
"808 Burning Tree Ln, Naperville, IL 60563","$589,000",4 beds,2.5 baths,"2,583 sq ft"
"16734 Evans Ave, South Holland, IL 60473","$249,900",3 beds,2 baths,"1,292 sq ft"
"9133 S Drexel Ave, Chicago, IL 60619","$279,900",7 beds,3 baths,"2,097 sq ft"
"6241 S Bishop St, Chicago, IL 60636","$350,000",7 beds,3 baths,— sq ft
"757 Whalom Ln, Schaumburg, IL 60173","$324,900",2 beds,2 baths,"1,500 sq ft"
"17861 Harvard Ln, Country Club Hills, IL 60478","$175,000",4 beds,2 baths,"1,333 sq ft"
"4039 N Elston Ave #3, Chicago, IL 60618","$499,000",3 beds,2 baths,"1,850 sq ft"
"280 Westbrook Cir, Naperville, IL 60565","$419,900",3 beds,1.5 baths,"1,597 sq ft"
"151 N Canyon Dr, Bolingbrook, IL 60490","$429,900",4 beds,2.5 baths,"2,417 sq ft"
"118 Kestrel Way, Hartland, WI 53029","$767,777",4 beds,3.5 baths,"4,032 sq ft"
"3280 Haverhill Dr, Aurora, IL 60502","$514,900",4 beds,2.5 baths,"1,961 sq ft"
"5652 W 63rd St Unit 3E, Chicago, IL 60638","$239,900",2 beds,2 baths,"1,100 sq ft"
"860 E Old Willow Rd #222, Prospect Heights, IL 60070","$169,900",2 beds,1 bath,950 sq ft
"16 Lindsey Ct E, Bolingbrook, IL 60440","$349,900",3 beds,3.5 baths,"1,939 sq ft"
"224 E 46th St, Chicago, IL 60653","$674,900",5 beds,3.5 baths,"3,000 sq ft"
"5313 W River Bend Dr, Libertyville, IL 60048","$1,250,000",5 beds,3 baths,"4,638 sq ft"
"1829 Covenent Ln, Chicago Heights, IL 60411","$465,000",6 beds,3.5 baths,"2,336 sq ft"
"2333 W Saint Paul Ave #132, Chicago, IL 60647","$514,900",2 beds,2 baths,"1,261 sq ft"
"116 Tower Ln, Elk Grove Village, IL 60007","$340,000",3 beds,1.5 baths,"1,400 sq ft"
"400 W Huron St #1002, Chicago, IL 60654","$1,390,000",3 beds,2.5 baths,"2,200 sq ft"
"7904 W Belmont Ave, Chicago, IL 60634","$599,900",5 beds,3 baths,— sq ft
"107 156th St, Calumet City, IL 60409","$160,000",2 beds,1 bath,800 sq ft
"3862 S Lake Park Ave Unit 3N, Chicago, IL 60653","$380,000",3 beds,2 baths,"1,850 sq ft"
"655 W Irving Park Rd #2307, Chicago, IL 60613","$179,900",1 bed,1 bath,600 sq ft
"6607 N Newgard Ave Unit 2S, Chicago, IL 60626","$364,900",3 beds,2 baths,"1,800 sq ft"
"4304 N Central Park Ave, Chicago, IL 60618","$799,900",6 beds,4 baths,— sq ft
"3408 Tall Grass Dr, Naperville, IL 60564","$740,000",4 beds,2.5 baths,"3,170 sq ft"
"7031 W Touhy Ave #308, Niles, IL 60714","$315,000",2 beds,1 bath,"1,363 sq ft"
"8339 S Oglesby Ave, Chicago, IL 60617","$225,900",3 beds,1 bath,"1,780 sq ft"
"10561 S Church St, Chicago, IL 60643","$370,000",5 beds,3 baths,"2,100 sq ft"
"6138 W 128th Pl, Palos Heights, IL 60463","$469,900",4 beds,2.5 baths,"2,048 sq ft"
"1366 Elizabeth St, Crete, IL 60417","$249,900",4 beds,2.5 baths,"3,252 sq ft"
"1117 W Fry St Unit G, Chicago, IL 60642","$335,000",2 beds,2 baths,"1,600 sq ft"
